"","data","sta","x","y","BPC"
"18636","RSMP","RSMP13287",0.42424,53.50176,2075.8728660142
"18637","RSMP","RSMP19761",1.52765,53.50184,667.619611378349
"18638","RSMP","RSMP4771",-3.63024,53.50187,142.118370473921
"18639","RSMP","RSMP5980",-3.21206,53.5023,1931.39992068193
"18640","RSMP","RSMP5983",-3.21194,53.50232,4184.19837223711
"18641","RSMP","RSMP5981",-3.21203,53.50234,4758.02530663882
"18642","RSMP","RSMP5982",-3.21199,53.50237,8550.85996999223
"18643","RSMP","RSMP5979",-3.21211,53.5024,1109.4410987543
"18644","RSMP","RSMP5984",-3.21189,53.5024,6237.62492705714
"18645","RSMP","RSMP19049",1.34232,53.50251,1941.88454046081
"18646","RSMP","RSMP3698",-4.00645,53.50252,614.799360209172
"18647","RSMP","RSMP15996",0.65526,53.50267,48769.951644084
"18648","RSMP","RSMP5124",-3.5725,53.50307,863.41392286393
"18649","RSMP","RSMP26039",2.54218,53.50307,300.235879952822
"18650","RSMP","RSMP4560",-3.66938,53.50321,910.093504380301
"18651","RSMP","RSMP20395",1.61166,53.50368,1368.77499767695
"18652","RSMP","RSMP23511",1.98442,53.50391,283.751930923211
"18653","RSMP","RSMP4870",-3.61162,53.50445,1959.01173254281
"18654","RSMP","RSMP21937",1.83182,53.50464,2930.57546939422
"18655","RSMP","RSMP13647",0.48005,53.5054,2660.62728552653
"18656","RSMP","RSMP15998",0.65573,53.50542,48775.0177557857
"18657","RSMP","RSMP5226",-3.55426,53.50564,65.888358048119
"18658","RSMP","RSMP18980",1.32288,53.50575,5656.55108250431
"18659","RSMP","RSMP4168",-3.76779,53.50603,318.949902944779
"18660","RSMP","RSMP22620",1.90063,53.50624,151.660947284891
"18661","RSMP","RSMP25968",2.48165,53.50644,174.770661197942
"18662","RSMP","RSMP11693",0.21665,53.50649,37.7201428452826
"18663","RSMP","RSMP17764",1.05981,53.50663,760.201254864861
"18664","RSMP","RSMP18053",1.11501,53.50663,419.933300662663
"18665","RSMP","RSMP22600",1.89849,53.50666,179.018507213037
"18666","RSMP","RSMP22606",1.89886,53.50671,73.2351978286237
"18667","RSMP","RSMP11520",0.19103,53.50673,79.1930817195759
"18668","RSMP","RSMP4997",-3.59323,53.50685,511.03210877142
"18669","RSMP","RSMP11413",0.1645,53.50754,134.640862482858
"18670","RSMP","RSMP4292",-3.72922,53.50761,1027.9337835039
"18671","RSMP","RSMP1341",-5.25376,53.50774,11144.2557205265
"18672","RSMP","RSMP20280",1.58908,53.50824,278.613090392248
"18673","RSMP","RSMP19030",1.33614,53.50844,1452.28502323262
"18674","RSMP","RSMP1430",-5.18447,53.50854,30480.9070406266
"18675","RSMP","RSMP4218",-3.74955,53.50859,1774.41998317778
"18676","RSMP","RSMP5969",-3.21896,53.50895,741.49170580621
"18677","RSMP","RSMP21609",1.77758,53.50934,1272.70577449731
"18678","RSMP","RSMP5108",-3.5752,53.50943,504.47979025013
"18679","MWTL","MWTL93",5.63,53.51,2050.49421272902
"18680","RSMP","RSMP25981",2.48649,53.51014,1635.42577568703
"18681","RSMP","RSMP4370",-3.71098,53.51016,792.083623193715
"18682","RSMP","RSMP18961",1.31375,53.51034,5848.89468788917
"18683","RSMP","RSMP16451",0.73159,53.51043,2725.01369921876
"18684","RSMP","RSMP23475",1.9791,53.51129,824.067732305968
"18685","RSMP","RSMP12150",0.26849,53.5114,1026.95905033459
"18686","RSMP","RSMP18286",1.17737,53.51178,889.308823487139
"18687","RSMP","RSMP12300",0.29744,53.51201,2370.04326101443
"18688","RSMP","RSMP19002",1.32665,53.51205,2091.24767409259
"18689","RSMP","RSMP3340",-4.22423,53.51207,333.526281390753
"18690","RSMP","RSMP6054",-3.19361,53.51233,2266.39729195092
"18691","RSMP","RSMP6052",-3.19363,53.51234,3711.74675308597
"18692","RSMP","RSMP6051",-3.19364,53.51237,2798.07043858769
"18693","RSMP","RSMP6044",-3.19368,53.51239,936.441534076075
"18694","RSMP","RSMP6057",-3.19354,53.51239,2651.55310254026
