"","data","sta","x","y","TotalDens"
"11832","RSMP","RSMP1304",-5.28259,51.78279,1860
"11833","RSMP","RSMP1408",-5.19998,51.78322,7000
"11834","RSMP","RSMP17601",1.01521,51.78335,12050
"11835","RSMP","RSMP23605",1.99535,51.78342,750
"11836","RSMP","RSMP23603",1.99527,51.78343,4510
"11837","RSMP","RSMP1473",-5.15405,51.78424,12210
"11838","RSMP","RSMP19708",1.52117,51.78465,4720
"11839","RSMP","RSMP1549",-5.11313,51.78545,2450
"11840","RSMP","RSMP19523",1.48993,51.78564,2190
"11841","RSMP","RSMP18496",1.21633,51.7857,1140
"11842","RSMP","RSMP18259",1.16705,51.78583,410
"11843","RSMP","RSMP19017",1.33028,51.78585,1550
"11844","RSMP","RSMP17624",1.0211,51.78586,4840
"11845","RSMP","RSMP19659",1.51557,51.78617,270
"11846","RSMP","RSMP22849",1.91883,51.7876,3370
"11847","RSMP","RSMP17617",1.01973,51.78824,5930
"11848","RSMP","RSMP19630",1.50913,51.78825,230
"11849","RSMP","RSMP19158",1.38759,51.7896,30
"11850","RSMP","RSMP19156",1.38754,51.78967,50
"11851","RSMP","RSMP19166",1.3894,51.78967,20
"11852","RSMP","RSMP19157",1.38757,51.78979,20
"11853","RSMP","RSMP1324",-5.27,51.79,3840
"11854","RSMP","RSMP1543",-5.12,51.79,8910
"11855","MWTL","MWTL45",3.81,51.79,3167.81037023804
"11856","RSMP","RSMP18631",1.24673,51.79033,680
"11857","RSMP","RSMP23994",2.02816,51.79145,250
"11858","RSMP","RSMP24622",2.07478,51.79184,410
"11859","RSMP","RSMP19800",1.53273,51.79206,230
"11860","RSMP","RSMP17587",1.01241,51.79248,4460
"11861","RSMP","RSMP24964",2.11704,51.79263,200
"11862","RSMP","RSMP19682",1.51711,51.79268,460
"11863","RSMP","RSMP21568",1.77128,51.79345,5410
"11864","RSMP","RSMP1321",-5.27328,51.79382,4070
"11865","RSMP","RSMP17620",1.02053,51.79417,670
"11866","RSMP","RSMP19741",1.52662,51.79422,670
"11867","RSMP","RSMP23142",1.93788,51.79531,380
