"","data","sta","x","y","AFDW"
"27709","SHARK","SHARK701",15.0425,56.1674,24.5567978813603
"27710","SHARK","SHARK716",15.0626,56.1675,18.7062537977813
"27711","SHARK","SHARK714",15.0625,56.1676,19.0483784125784
"27712","SHARK","SHARK717",15.0626,56.1676,10.2285149186871
"27713","SHARK","SHARK719",15.0627,56.1676,15.1350442973514
"27714","SHARK","SHARK721",15.0628,56.1676,31.1513507493975
"27715","SHARK","SHARK712",15.0624,56.1677,13.0562203391727
"27716","SHARK","SHARK715",15.0625,56.1677,15.5788308343439
"27717","SHARK","SHARK718",15.0626,56.1677,10.9218024843596
"27718","SHARK","SHARK720",15.0627,56.1677,13.8043454297142
"27719","SHARK","SHARK723",15.0629,56.1677,37.1325558841714
"27720","SHARK","SHARK707",15.0595,56.1678,26.1069125948041
"27721","SHARK","SHARK713",15.0624,56.1678,17.4318184698614
"27722","SHARK","SHARK722",15.0628,56.1678,43.4311728087188
"27723","RSMP","RSMP6856",-2.27146,56.1679,7.8111681224842
"27724","SHARK","SHARK711",15.0621,56.168,15.1622979137991
"27725","SHARK","SHARK932",15.6304,56.1682,9.11818691714607
"27726","SHARK","SHARK930",15.6298,56.1683,9.09588334887727
"27727","SHARK","SHARK933",15.631,56.1684,12.6568309346998
"27728","SHARK","SHARK931",15.6303,56.1687,10.9023574665973
"27729","SHARK","SHARK934",15.6319,56.169,16.558255368069
"27730","RSMP","RSMP25215",2.16429,56.1692,16.1192309911979
"27731","ODAM","ODAM1176",10.2504,56.1707,85.7689373158176
"27732","SHARK","SHARK847",15.5547,56.1707,29.5758526171773
"27733","SHARK","SHARK851",15.5553,56.1707,76.0524460486061
"27734","SHARK","SHARK843",15.5543,56.1708,44.1966870799819
"27735","SHARK","SHARK844",15.5544,56.1708,72.9611966267706
"27736","SHARK","SHARK846",15.5546,56.1708,63.6321059745565
"27737","SHARK","SHARK848",15.5547,56.1708,24.1919141928355
"27738","SHARK","SHARK849",15.5548,56.1708,17.8786109516266
"27739","SHARK","SHARK709",15.0607,56.1709,3.80935063258602
"27740","SHARK","SHARK845",15.5545,56.1709,76.8558117232352
"27741","SHARK","SHARK850",15.5548,56.1709,87.5811895944223
"27742","SHARK","SHARK816",15.497,56.171,21.8041231774085
"27743","ODAM","ODAM1957",10.741,56.1712,174.347957205704
"27744","ODAM","ODAM1381",10.3585,56.1717,61.4625054735227
"27745","RSMP","RSMP22014",1.84048,56.17249,22.0441702374342
"27746","ODAM","ODAM3059",12.2108,56.1727,65.17023596426
"27747","ODAM","ODAM1755",10.5982,56.1742,50.0022224903412
"27748","SHARK","SHARK702",15.0472,56.1743,18.7062537977813
"27749","RSMP","RSMP22337",1.87248,56.17464,12.1742700837131
"27750","ODAM","ODAM1366",10.3384,56.1749,69.6872834268665
"27751","ODAM","ODAM5",8.0074,56.1751,102.497854770903
"27752","SHARK","SHARK724",15.0665,56.1751,3.32251819259923
"27753","ODAM","ODAM1343",10.3095,56.1752,59.420151130811
"27754","SHARK","SHARK1225",16.283,56.1757,9.30421240454024
"27755","SHARK","SHARK1227",16.2832,56.1757,18.1484039085853
"27756","SHARK","SHARK705",15.05,56.1763,2.35477596486684
"27757","SHARK","SHARK1229",16.2842,56.1763,22.524288416188
"27758","ODAM","ODAM1295",10.296,56.1766,194.012031786499
"27759","HELCOM","HELCOM62",10.59538333,56.17708333,1110.73854363139
"27760","ODAM","ODAM1751",10.5954,56.1771,166.318782891534
"27761","SHARK","SHARK704",15.0491,56.1774,24.4768319167098
"27762","ODAM","ODAM3089",12.3164,56.1776,56.3356972031929
"27763","RSMP","RSMP6836",-2.30816,56.17986,16.1745348182852
"27764","RSMP","RSMP6837",-2.30801,56.17999,14.1101245225049
"27765","SHARK","SHARK696",15.0084,56.182,32.6244517786884
"27766","SHARK","SHARK697",15.0113,56.1822,32.6244517786884
"27767","ODAM","ODAM1727",10.5749,56.1826,47.307011176812
"27768","ODAM","ODAM1292",10.2954,56.1827,55.7178750330517
"27769","RSMP","RSMP6763",-2.44436,56.18286,11.9783521917523
"27770","SHARK","SHARK1228",16.2833,56.1833,9.09623069769181
"27771","RSMP","RSMP25866",2.40383,56.18338,5.12490514626055
"27772","ODAM","ODAM2713",11.7052,56.1834,49.8738816895903
"27773","RSMP","RSMP6770",-2.42766,56.18349,8.1596640778714
"27774","SHARK","SHARK703",15.0484,56.1839,3.11328983607501
"27775","RSMP","RSMP6910",-2.17442,56.18518,47.343020809794
"27776","ODAM","ODAM2731",11.7213,56.1854,37.980412135869
"27777","HELCOM","HELCOM114",11.72131667,56.18543333,265.59728766342
"27778","RSMP","RSMP6871",-2.23888,56.18579,52.9737695069656
"27779","RSMP","RSMP6826",-2.32,56.18729,24.6254380099711
"27780","RSMP","RSMP25495",2.25515,56.18819,29.643597642836
"27781","ODAM","ODAM1966",10.7445,56.1882,80.3701861934205
"27782","RSMP","RSMP22113",1.8526,56.18872,24.284349091922
"27783","ODAM","ODAM1992",10.7514,56.1906,26.500537999815
"27784","ODAM","ODAM1982",10.7484,56.1907,37.1361899938546
"27785","ODAM","ODAM1967",10.7445,56.1927,77.2549635273363
"27786","ODAM","ODAM1201",10.2597,56.193,309.46524182054
"27787","RSMP","RSMP6817",-2.33101,56.19399,103.882497925481
"27788","ODAM","ODAM1980",10.7472,56.1941,17.6391450878969
"27789","ODAM","ODAM1999",10.7554,56.1941,15.2922762670553
"27790","ODAM","ODAM1978",10.7467,56.1959,33.1909577601854
"27791","ODAM","ODAM1987",10.7507,56.1959,22.557721178536
"27792","ODAM","ODAM1337",10.3065,56.1962,0.59947845252103
"27793","ODAM","ODAM1968",10.7445,56.1964,70.4103730945889
"27794","ODAM","ODAM1754",10.5976,56.1966,29.0919384059358
"27795","ODAM","ODAM1961",10.7429,56.1972,91.5686501344669
"27796","ODAM","ODAM1974",10.7449,56.1972,164.105803127498
"27797","RSMP","RSMP306",-7.93698,56.19738,141.269411090359
"27798","ODAM","ODAM1356",10.319,56.1976,237.703800815688
"27799","ODAM","ODAM1840",10.652,56.1977,11.671473183188
"27800","ODAM","ODAM1969",10.7445,56.1981,114.816939508184
"27801","RSMP","RSMP6916",-2.17045,56.19908,208.275497929737
"27802","ODAM","ODAM1976",10.7459,56.1991,32.0688812613279
"27803","ODAM","ODAM1995",10.7524,56.1991,24.0491252155851
"27804","ODAM","ODAM1984",10.7495,56.1992,47.9333129723296
"27805","HELCOM","HELCOM90",11.1525,56.20053333,764.539778741527
"27806","ODAM","ODAM1985",10.7497,56.2006,21.3724262434041
"27807","RSMP","RSMP6862",-2.26457,56.2008,85.1152978405997
"27808","ODAM","ODAM1977",10.746,56.2009,43.7300387810925
"27809","ODAM","ODAM1773",10.612,56.2011,37.618150033434
"27810","SHARK","SHARK247",12.4745,56.2012,106.691306359463
"27811","ODAM","ODAM1970",10.7445,56.2022,158.627828521708
"27812","ODAM","ODAM1975",10.7454,56.2022,29.1783909666253
"27813","ODAM","ODAM1983",10.7487,56.2022,34.1702409846612
"27814","ODAM","ODAM1996",10.7524,56.2026,23.6389594382635
"27815","RSMP","RSMP6935",-2.14154,56.20293,237.047029639149
"27816","RSMP","RSMP6911",-2.17379,56.20313,529.242724784995
"27817","ODAM","ODAM1972",10.7447,56.2039,33.7393372606617
"27818","ODAM","ODAM2111",10.8314,56.2039,44.103347786329
"27819","RSMP","RSMP6812",-2.33554,56.2041,97.482529348256
"27820","HELCOM","HELCOM100",11.48583333,56.205,89.5531773084931
"27821","ODAM","ODAM2006",10.7587,56.2051,38.275842463815
"27822","ODAM","ODAM1963",10.7439,56.2054,52.5883278281062
"27823","ODAM","ODAM1981",10.7474,56.2054,30.9373530442757
"27824","ODAM","ODAM2022",10.7659,56.2054,31.2214872140668
"27825","ODAM","ODAM1557",10.474,56.2059,12.5270983288582
