"","data","sta","x","y","AFDW_Omni"
"346","HELCOM","HELCOM410",18.39535,62.81851667,NA
"347","HELCOM","HELCOM411",18.39536667,62.8184,NA
"348","HELCOM","HELCOM412",18.39538333,62.8186,NA
"349","HELCOM","HELCOM413",18.4,55.555,NA
"350","HELCOM","HELCOM414",18.45628333,62.8273,NA
"351","HELCOM","HELCOM415",18.45666667,62.82743333,NA
"352","HELCOM","HELCOM416",18.4567,62.82738333,NA
"353","HELCOM","HELCOM417",18.45676667,62.82703333,NA
"354","HELCOM","HELCOM418",18.4835,60.32316667,1.6394112779655
"355","HELCOM","HELCOM419",18.52178333,62.8511,NA
"356","HELCOM","HELCOM42",10.2997,56.60506667,1527.18342569237
"357","HELCOM","HELCOM420",18.52185,62.8509,NA
"358","HELCOM","HELCOM421",18.52196667,62.851,NA
"359","HELCOM","HELCOM422",18.52208333,62.85098333,NA
"360","HELCOM","HELCOM423",18.52533333,60.302,NA
"361","HELCOM","HELCOM424",18.55183333,60.299,NA
"362","HELCOM","HELCOM425",18.5645,60.27016667,NA
"363","HELCOM","HELCOM426",18.5837,62.86311667,NA
"364","HELCOM","HELCOM427",18.5837,62.86318333,0.0149327756102796
"365","HELCOM","HELCOM428",18.5838,62.86318333,NA
"366","HELCOM","HELCOM429",18.58385,62.86311667,NA
"367","HELCOM","HELCOM43",10.31471667,54.97101667,NA
"368","HELCOM","HELCOM430",18.5985,60.27166667,NA
"369","HELCOM","HELCOM431",18.61853333,62.8841,NA
"370","HELCOM","HELCOM432",18.61865,62.88416667,NA
"371","HELCOM","HELCOM433",18.6188,62.88418333,NA
"372","HELCOM","HELCOM434",18.61898333,62.88408333,NA
"373","HELCOM","HELCOM435",18.63285,62.90675,NA
"374","HELCOM","HELCOM436",18.63288333,62.90678333,0.0149327756102796
"375","HELCOM","HELCOM437",18.6329,62.90678333,NA
"376","HELCOM","HELCOM438",18.63298333,62.90698333,NA
"377","HELCOM","HELCOM439",18.633,60.24433333,NA
"379","HELCOM","HELCOM440",18.63616667,60.26083333,NA
"380","HELCOM","HELCOM441",18.65633333,60.22733333,NA
"381","HELCOM","HELCOM442",18.67066667,60.24366667,NA
"382","HELCOM","HELCOM443",18.67483333,60.26316667,NA
"383","HELCOM","HELCOM444",18.7484,60.6015,NA
"384","HELCOM","HELCOM445",18.74841667,60.60145,NA
"385","HELCOM","HELCOM446",18.74848333,60.60138333,NA
"386","HELCOM","HELCOM447",18.74848333,60.60151667,NA
"387","HELCOM","HELCOM448",18.7865,60.5534,NA
"388","HELCOM","HELCOM449",18.78663333,60.55338333,NA
"389","HELCOM","HELCOM45",10.32066667,54.97125,1.95791189489629
"390","HELCOM","HELCOM450",18.78665,60.5533,NA
"391","HELCOM","HELCOM451",18.78668333,60.5534,NA
"392","HELCOM","HELCOM452",18.8108,60.43138333,NA
"393","HELCOM","HELCOM453",18.8109,60.43128333,NA
"394","HELCOM","HELCOM454",18.81095,60.43123333,NA
"395","HELCOM","HELCOM455",18.81098333,60.43118333,NA
"396","HELCOM","HELCOM456",18.824,57.16266667,NA
"397","HELCOM","HELCOM457",18.824,57.16278333,0.00133307819874981
"398","HELCOM","HELCOM458",18.82401667,57.16258333,0.00134647596959152
"399","HELCOM","HELCOM459",18.8241,57.16258333,NA
"400","HELCOM","HELCOM46",10.32333333,56.8395,399.006199093143
"401","HELCOM","HELCOM460",18.82413333,57.16273333,0.00266836897542286
"402","HELCOM","HELCOM461",18.83333,56.49167,NA
"403","HELCOM","HELCOM462",18.8826,57.2087,NA
"404","HELCOM","HELCOM463",18.88268333,57.2087,NA
"405","HELCOM","HELCOM464",18.88271667,57.20878333,NA
"406","HELCOM","HELCOM465",18.88278333,57.20878333,NA
"407","HELCOM","HELCOM466",18.88283333,57.20883333,NA
"408","HELCOM","HELCOM467",18.88867,62.84533,NA
"409","HELCOM","HELCOM468",18.89513333,60.3798,NA
"410","HELCOM","HELCOM469",18.89518333,60.37988333,NA
"411","HELCOM","HELCOM47",10.32465,54.97108333,NA
"412","HELCOM","HELCOM470",18.8953,60.37993333,NA
"413","HELCOM","HELCOM471",18.92918333,60.54533333,NA
"414","HELCOM","HELCOM472",18.92941667,60.54526667,NA
"415","HELCOM","HELCOM473",18.9295,60.54528333,NA
"416","HELCOM","HELCOM474",18.9296,60.5452,NA
"417","HELCOM","HELCOM475",18.9298,60.57508333,NA
"418","HELCOM","HELCOM476",18.92993333,60.57506667,NA
"419","HELCOM","HELCOM477",18.92993333,60.57515,NA
"420","HELCOM","HELCOM478",18.92998333,60.5752,NA
"421","HELCOM","HELCOM479",18.93788333,60.43548333,NA
"422","HELCOM","HELCOM48",10.32676667,54.97106667,NA
"423","HELCOM","HELCOM480",18.93795,60.43551667,NA
"424","HELCOM","HELCOM481",18.93798333,60.4356,NA
"425","HELCOM","HELCOM482",18.93808333,60.43553333,NA
"426","HELCOM","HELCOM483",18.93958333,60.62148333,NA
"427","HELCOM","HELCOM484",18.93963333,60.62158333,NA
"428","HELCOM","HELCOM485",18.93968333,60.62168333,NA
