phy,cla,ord,fam,gen,taxon,Motility,Body size,Burrowing depth,Morphology,Mobility,Mixing type,Mixing rate,Mi,Mi2,Ri,Morphology 2,Morphology 2,Body size 2,Burrowing depth 2,Mixing rate 2
Annelida,Polychaeta,,Maldanidae,,Maldanidae,Tubicolous,10-20cm,15-30cm,Cylindrical,Very low,Upward conveying,Very low,1,1,3,1,1,4,5,20
Annelida,Polychaeta,,Maldanidae,Nicomache,Nicomache,Tubicolous,10-20cm,15-30cm,Cylindrical,Very low,D/U conveying,Very low,1,1,3,1,1,4,5,20
Annelida,Polychaeta,,Maldanidae,Nicomache,Nicomache lumbricalis,Tubicolous,10-20cm,15-30cm,Cylindrical,Very low,D/U conveying,Very low,1,1,3,1,1,4,5,20
Annelida,Polychaeta,Eunicida,Onuphidae,Hyalinoecia,Hyalinoecia tubicola,Tubicolous,10-20cm,0-5cm,Cylindrical,Intermediate,Surface mixing,Very low,3,3,2,1,1,4,2,24
Annelida,Polychaeta,Eunicida,Onuphidae,Nothria,Nothria conchylega,Tubicolous,10-20cm,0-5cm,Cylindrical,Intermediate,Surface mixing,Very low,3,3,2,1,1,4,2,24
Mollusca,Bivalvia,Nuculida,Nuculidae,Nucula,Nucula nitidosa,Crawler,1-3cm,0-5cm,Bivalved,Intermediate,Surface mixing,Very low,3,3,2,2,2,2,2,24
Mollusca,Bivalvia,Veneroida,Veneridae,Chamelea,Chamelea striatula,Crawler,3-10cm,0-5cm,Bivalved,Low,Surface mixing,Very low,2,2,2,2,2,3,2,24
Mollusca,Bivalvia,Veneroida,Psammobiidae,Gari,Gari,Crawler,3-10cm,0-5cm,Bivalved,Low,Surface mixing,Very low,2,2,2,2,2,3,2,24
Mollusca,Bivalvia,Veneroida,Psammobiidae,Gari,Gari fervensis,Crawler,3-10cm,0-5cm,Bivalved,Low,Surface mixing,Very low,2,2,2,2,2,3,2,24
Mollusca,Bivalvia,[unassigned] Euheterodonta,Pharidae,Phaxas,Phaxas pellucidus,Crawler,3-10cm,0-5cm,Bivalved,Low,Surface mixing,Very low,2,2,2,2,2,3,2,24
Mollusca,Bivalvia,Veneroida,Mactridae,Spisula,Spisula solida,Crawler,3-10cm,0-5cm,Bivalved,Low,Surface mixing,Very low,2,2,2,2,2,3,2,24
Mollusca,Bivalvia,Veneroida,Mactridae,Spisula,Spisula subtruncata,Crawler,3-10cm,0-5cm,Bivalved,Low,Surface mixing,Very low,2,2,2,2,2,3,2,24
Mollusca,Bivalvia,Veneroida,Veneridae,Circomphalus,Venus casina,Crawler,3-10cm,0-5cm,Bivalved,Low,Surface mixing,Very low,2,2,2,2,2,3,2,24
Annelida,Polychaeta,Phyllodocida,Polynoidae,Harmothoe,Harmothoe impar,Crawler,1-3cm,0-5cm,Cylindrical,Intermediate,Diffusion,Very low,3,3,4,2,2,2,2,24
Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Peringia,Peringia ulvae,Crawler-Swimmer,<1cm,0-5cm,Globular,Intermediate,Surface mixing,Very low,3,3,2,3,4,1,2,24
Mollusca,Gastropoda,Littorinimorpha,Naticidae,Lunatia,Euspira nitida,Crawler,1-3cm,0cm,Globular,Intermediate,Surface mixing,Very low,3,3,2,3,4,2,1,24
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea,Crawler,1-3cm,10-15cm,Cylindrical,Intermediate,Surface mixing,Very low,3,3,2,1,1,2,4,24
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea cerrutii,Crawler,1-3cm,10-15cm,Cylindrical,Intermediate,Surface mixing,Very low,3,3,2,1,1,2,4,24
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea suecica,Crawler,1-3cm,10-15cm,Cylindrical,Intermediate,Surface mixing,Very low,3,3,2,1,1,2,4,24
